ID,FirstName,SecondName
comment,第一个名字,第二个名字
1,暗夜,枪魂
2,暗影,枪神
3,黯灭,枪圣
4,霸道,枪灵
5,贝克,枪鬼
6,比尔,枪王
7,创世,艾斯
8,淡然,安琪
9,淡定,白瞳
10,地狱,冰寒
11,粉碎,冰枪
12,浩荡,冰狙
13,幻世,冰弹
14,幻影,沧澜
15,毁灭,苍狼
16,毁世,长空
17,冷面,长蛇
18,冷漠,尘埃
19,烈火,沉沙
20,烈酒,晨星
21,流浪,传奇
22,漫天,呆萌
23,魅影,戴维
24,末日,刀锋
25,末世,刀痕
26,逆傲,雕龙
27,逆良,飞龙
28,逆影,飞侠
29,破世,飞鹰
30,日落,风行
31,荣耀,风烟
32,赏金,公爵
33,深海,孤狼
34,嗜血,光狼
35,司马,光明
36,四海,寒蝉
37,万里,寒刀
38,肖恩,寒枪
39,邂逅,豪风
40,朽木,亨利
41,炫动,极光
42,夜魇,疾风
43,永恒,杰伦
44,科技,惊风
45,幽暗,惊雷
46,元气,惊魂
47,云冻,狂徒
48,掩藏者,狼牙
49,斩月,雷弹
50,至尊,雷霆
51,致命,莉娜
52,隐形,灵狼
53,暗杀者,灵枪
54,肮脏的,零尘
55,傲慢的,琉璃
56,霸气的,蒙多
57,保护者,霓虹
58,报复的,凝春
59,暴力的,麒麟
60,卑鄙的,千凡
61,悲哀的,千豪
62,悲愤的,千金
63,背叛者,千秋
64,奔放的,乾坤
65,鞭笞者,青春
66,不安的,囚徒
67,不满的,若风
68,不屑的,神豪
69,裁决者,神机
70,残忍的,神枪
71,沉着的,失格
72,诚实的,瞬间
73,吃惊的,太阳
74,耻辱的,腾飞
75,冲动的,腾龙
76,创造者,天才
77,纯洁的,天仇
78,慈爱的,天恩
79,从容的,天豪
80,聪明的,天空
81,挫折的,天鹰
82,大方的,天尊
83,大怒的,威廉
84,大气的,威仪
85,弹道,无尘
86,低调的,无城
87,低落的,无光
88,缔造者,无寒
89,独创的,无枪
90,多变的,无极
91,多情的,无灵
92,多疑的,无情
93,发狂的,无声
94,发现者,无双
95,乏味的,无心
96,反对者,西决
97,反复的,肖恩
98,反击者,辛白
99,愤慨的,星辰
100,愤怒的,熊猫
101,纷飞,修罗
102,风行者,易风
103,风语者,易寒
104,疯狂的,英才
105,浮躁的,英宁
106,复仇者,英然
107,尴尬的,樱宁
108,感动的,游狼
109,高兴的,游龙
110,公正的,渊白
111,恭顺的,渊虹
112,孤单的,渊龙
113,孤独的,遮天
114,怪异的,竹枪
115,规矩的,追风
116,诡异的,纵横
117,果断的,红桃J
118,豪放的,艾伦
119,好奇的,安迪
120,黑暗的,巴德
121,后悔的,巴克
122,华丽的,巴伦
123,滑稽的,巴洛
124,怀疑的,红桃A
125,慌乱的,保罗
126,毁灭者,贝克
127,活泼的,比尔
128,火辣的,变幻者
129,机敏的,波特
130,积极的,波文
131,激动的,布鲁克
132,激怒的,布鲁斯
133,激情的,查尔斯
134,急躁的,霍华德
135,寂寞的,吉恩
136,尖锐的,吉姆
137,尖啸者,加尔
138,坚强的,杰夫
139,俭朴的,金枪
140,健忘的,凯利
141,骄傲的,老板
142,焦急的,黑桃7
143,焦虑的,梦魇
144,杰出的,曹
145,紧张的,消声器
146,谨慎的,雨果
147,尽职的,詹姆斯
148,惊骇的,天堂
149,惊慌的,天风
150,惊恐的,天府
151,惊喜的,天晴
152,惊吓的,天琴
153,惊讶的,天擎
154,精悍的,天启
155,精明的,天威
156,警觉的,蒋
157,靓丽的,黑桃10
158,救赎者,方片3
159,拘谨的,仇
160,沮丧的,司令
161,决断者,愚者
162,绝望的,湘
163,倔强的,姜
164,开朗的,屈
165,开拓者,断秋
166,开心的,代号
167,慷慨的,梅花6
168,可爱的,碧空
169,可恶的,荧光
170,可靠的,沈
171,可怜的,童
172,可怕的,祖
173,刻薄的,碧
174,客观的,秀
175,恐吓者,黑桃J
176,恐怖的,红桃9
177,恐慌的,项
178,恐惧的,踏歌
179,苦闷的,红桃4
180,苦恼的,方片A
181,快枪,驳
182,快乐的,颜
183,宽宏的,方片6
184,宽厚的,若血
185,宽容的,武
186,狂暴者,捕猎者
187,狂喜的,蓉
188,狂拽的,三剑
189,愧疚的,香
190,懒惰的,章
191,唠叨的,衫
192,老道的,道天
193,老练的,孤胆
194,老枪,风魂
195,乐观的,杨
196,磊落的,疾枪
197,冷淡的,红桃K
198,冷静的,黑桃4
199,冷漠的,雪冥
200,冷血的,败者
201,冷艳的,青碧
202,礼貌的,三枪
203,猎杀者,零食
204,伶俐的,粱
205,凌乱的,达人
206,流放者,枪心
207,露骨的,红桃10
208,鲁莽的,万天
209,掠食者,韶
210,埋怨的,威
211,满意的,朋友
212,满足的,悲歌
213,漫步者,罗
214,莽撞的,琳
215,美丽的,梅花K
216,萌萌的,席
217,懵懂的,记忆
218,迷人的,清血
219,勉强的,荀
220,腼腆的,老者
221,灭世者,绫
222,木讷的,施
223,内疚的,马
224,内敛的,誉
225,内向的,羊
226,难过的,川枫
227,恼怒的,会心
228,逆反的,方片9
229,忸怩的,老枪
230,怒吼的,徐
231,懦弱的,梅花7
232,飘过的,枫
233,飘逸的,於
234,贫乏的,擎天柱
235,平和的,魏
236,平衡的,梅花9
237,平静的,沧海
238,破法者,凛
239,普通的,白刃
240,凄凉的,皇后
241,欺诈者,方片4
242,奇葩的,可仁
243,气愤的,甄
244,契约者,谢
245,谦虚的,涛声
246,强横的,方片J
247,切枪神,真
248,怯弱的,单枪
249,亲切的,如豹
250,勤奋的,乘风
251,青春的,温
252,轻率的,贞
253,轻蔑的,绅士
254,轻视的,绮
255,轻松的,汤
256,倾听者,夏
257,清纯的,凌
258,清新的,万恶
259,求知者,珍
260,热情的,梅花3
261,热心的,高
262,仁慈的,松
263,认真的,封
264,任性的,死神
265,融化,茹嫣
266,儒雅的,梅花4
267,睿智者,世界
268,洒脱的,宛
